"name","serial","mac","publicIp","networkId","status","lanIp","networkName","networkTags","networkTimeZone","usingCellularFailover","wan1Ip","wan2Ip"
"CAMPUS-SFO-IDF3.B2.1-MS120-8P","Q2CX-UQC9-UKXS","0c:8d:db:08:52:4a","198.27.154.100","L_646829496481100388","online","172.16.30.65","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF1.1.2-MS350-24","Q2VP-J6FM-UTSX","e0:55:3d:31:e5:ec","198.27.154.100","L_646829496481100388","online","172.16.1.4","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-MDF1.1-MS425-16-CORE1","Q2CW-64JC-WU4W","88:15:44:a7:a3:9d","198.27.154.100","L_646829496481100388","online","172.16.1.2","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF3.1.1-MS350-24X","Q2EW-3KB8-X9SL","0c:8d:db:bc:63:80","198.27.154.100","L_646829496481100388","online","172.16.1.7","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF2.1.1-MS220-24P","Q2KP-GKV9-4LBD","88:15:44:1a:ab:26","198.27.154.100","L_646829496481100388","online","172.16.1.6","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF1.1.3-MS350-24","Q2VP-JF5R-FQX4","e0:55:3d:31:ed:18","198.27.154.100","L_646829496481100388","online","172.16.1.8","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF1.1.4-MS220-24P","Q2KP-5YM8-E5K9","00:18:0a:b4:e3:0d","198.27.154.100","L_646829496481100388","online","172.16.1.9","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-IDF1.1.1-MS350-24","Q2VP-KQT7-QSEU","e0:55:3d:94:0c:a8","198.27.154.100","L_646829496481100388","online","172.16.1.5","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-MDF1.1-MS425-16-CORE2","Q2CW-G8ML-JLHW","88:15:44:a7:a6:e1","198.27.154.100","L_646829496481100388","online","172.16.1.3","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-MDF1.1-MX250-WarmSpare","Q2SW-HJ8Z-W6EV","e0:cb:bc:07:e3:81","198.27.154.100","L_646829496481100388","online",,"CAMPUS-SFO"," Campuses ","America/Los_Angeles",false,"192.168.10.52","10.0.10.52"
